front,back,frontHint,backHint,label
abode,demeure,d******,a****,noun
abroad,à l'étranger,à l'********,a*****,adverb
accountable,responsable / redevable,res******** / red******,ac*********,adjective
accounting,comptabilité,c**********é,a******ing,noun
ahead,devant / en avance / à venir,devant * en ****** / à *****,*****,adjective
air conditioner,climatiseur,***********,*** conditioner,noun
aircraft carrier,porte-avions,p****-******,air***** c******,noun
albeit,bien que,b*** q**,a*****,conjunction
allegedly,prétendument,pré*********,a********,adverb
almond,amande,am****,***ond,noun
altogether,tout à fait / complétement,t*** à **** / c***********,**********,adverb
anxious,inquiet,i******,a******,adjective
appliances,appareils électroménagers,a******** é**************,a*********,noun
appointment,rendez-vous,r*****-****,a******ment,noun
are we there yet ?,sommes-nous arrivés ?,s*****-**** a****** ?,a** w* t**** y** ?,question
arrive in time,arriver à temps,a****** à t****,arr*** i* t***,phrasal_verb
assessment,évaluation,é*********,a*****ment,adjective
assessor,évaluateur,é*********,a*******,noun
asset,actif,a****,a****,noun
assumption,hypothèse,h********,a*********,noun
attendee,participant,p**********,a*******,noun
attorney,avocat,av****,a*******,noun
auction,enchère,e******,a******,noun
awareness,conscience,c*********,a********,noun
backlash,contrecoup,c*********,b*******,noun
bail,caution,c******,b***,noun
bakery,boulangerie,b**********,b*****,noun
baking soda,bicarbonate de soude,b********** de s****,bak*** s***,noun
ballot,scrutin,s******,b*****,noun
ballpark estimate,estimation approximative,e********* a************,bal***** e*******,phrase
banished,banni,b****,b*******,adjective
bankruptcy,faillite,f*******,b*********,noun
banter,plaisanterie,p***********,b*****,noun
barefoot,pieds nus,p**** n**,b*******,noun
barely,à peine,à p****,b*****,adverb
bargain,bonne affaire,b**** a******,b******,noun
bargaining,négociation,n**********,b******ing,noun
bargaining chip,monnaie d'échange,m****** d'é******,bar******* c***,noun
bassinet,berceau,b******,b*******,noun
bathtub,baignoire,b********,b******,noun
beef up,renforcer,r********,b*** u*,phrasal_verb
beforehand,au préalable,a* p********,b*********,adverb
belly,ventre,ve****,b****,noun
bill,facture,f******,b***,noun
billboard,panneau d'affichage,p****** d**********,b********,noun
bite,morsure,m******,b***,noun
bitter,amer,a***,b*****,adjective
bitterness,amertume,a*******,b*********,noun
