imageUrl,word,frontHint,backHint,labels
https://images.unsplash.com/photo-1511739001486-6bfe10ce785f,Eiffel Tower,Paris,Iron lattice tower,landmark europe france
https://images.unsplash.com/photo-1552832230-c0197dd311b5,Big Ben,London,Clock tower,landmark europe uk
https://images.unsplash.com/photo-1564507592333-c60657eea523,Colosseum,Rome,Ancient amphitheater,landmark europe italy ancient
https://images.unsplash.com/photo-1549693578-d683be217e58,Statue of Liberty,New York,Freedom symbol,landmark usa america
https://images.unsplash.com/photo-1513415277609-fae90f885662,Taj Mahal,India,White marble,landmark asia india
https://images.unsplash.com/photo-1551632811-561732d1e306,Great Wall of China,China,Ancient fortification,landmark asia china ancient
https://images.unsplash.com/photo-1559827260-dc66d52bef19,Sydney Opera House,Australia,Modern architecture,landmark australia
https://images.unsplash.com/photo-1572484438530-c8fa5c6d0e3e,Pyramids of Giza,Egypt,Ancient wonders,landmark africa egypt ancient
https://images.unsplash.com/photo-1544735716-392fe2489ffa,Machu Picchu,Peru,Inca citadel,landmark southamerica peru ancient
https://images.unsplash.com/photo-1509023464722-18d996393ca8,Christ the Redeemer,Brazil,Rio de Janeiro,landmark southamerica brazil
