front,back,frontHint,backHint,label
abode,مسكن,م***,a****,noun
abroad,في الخارج,ف* ا*****,a*****,adverb
accountable,مسؤول,م****,ac*********,adjective
accounting,محاسبة,م*****,ac********,noun
ahead,أمام,أ***,a****,adjective
air conditioner,مكيف هواء,م*** ه***,a** co*********,noun
aircraft carrier,حاملة طائرات,ح**** ط*****,ai****** ca*****,noun
albeit,على الرغم من,ع** ا**** م*,a*****,conjunction
allegedly,يُزعم,يُز**,al*******,adverb
almond,لوز,ل**,a*****,noun
altogether,تماماً,ت****ً,al********,adverb
anxious,قلق,ق**,an*****,adjective
appliances,أجهزة منزلية,أ**** م*****,ap********,noun
appointment,موعد,م***,ap*********,noun
are we there yet ?,هل وصلنا بعد ؟,ه* و**** ب** ؟,a** w* t**** y** ?,question
arrive in time,الوصول في الوقت المحدد,ا***** ف* ا**** ا*****,a***** i* t***,phrasal_verb
assessment,تقييم,ت****,as********,adjective
assessor,مُقيّم,مُ**ّم,as******,noun
asset,أصل,أ**,a****,noun
assumption,افتراض,ا*****,as********,noun
attendee,حاضر,ح***,at******,noun
attorney,محامي,م****,at******,noun
auction,مزاد,م***,au*****,noun
awareness,وعي,و**,aw*******,noun
backlash,ردة فعل,ر** ف**,ba******,noun
bail,كفالة,ك****,b***,noun
bakery,مخبز,م***,b*****,noun
baking soda,صودا الخبز,ص*** ا****,b***** s***,noun
ballot,التصويت,ا******,b*****,noun
ballpark estimate,تقدير تقريبي,ت**** ت*****,ba****** es******,phrase
banished,منفي,م***,ba******,adjective
bankruptcy,إفلاس,إ****,ba********,noun
banter,مزاح,م***,b*****,noun
barefoot,حافي القدمين,ح*** ا******,ba******,noun
barely,بالكاد,ب*****,b*****,adverb
bargain,صفقة,ص***,ba*****,noun
bargaining,تفاوض,ت****,ba********,noun
bargaining chip,ورقة ضغط,و*** ض**,ba******** c***,noun
bassinet,سرير أطفال,س*** أ****,ba******,noun
bathtub,حوض استحمام,ح** ا******,ba*****,noun
beef up,تقوية,ت****,b*** u*,phrasal_verb
beforehand,مسبقاً,م****ً,be********,adverb
belly,بطن,ب**,b****,noun
bill,فاتورة,ف*****,b***,noun
billboard,لوحة إعلانات,ل*** إ******,bi*******,noun
bite,عضة,ع**,b***,noun
bitter,مرّ,م*ّ,b*****,adjective
bitterness,مرارة,م****,bi********,noun
blame shift,إلقاء اللوم على (شخص آخر),إ**** ا**** ع** (ش** آ**),b**** s****,phrase
bleeding,نزيف,ن***,bl******,noun
blender,خلاط,خ***,bl*****,noun
blending,خليط,خ***,bl******,noun
blind spots,المناطق العمياء,ا****** ا******,b**** s****,phrase
bloom,ازدهار,ا*****,b****,noun
blossom,زهرة,ز***,bl*****,noun
blower,مروحة,م****,b*****,noun
bogus,مزيف,م***,b****,noun slang
booking,حجز,ح**,bo*****,noun
boredom,ملل,م**,bo*****,noun
boulder,صخرة,ص***,bo*****,noun
boundary,حد,ح*,bo******,adjective
brackets,خطافات,خ*****,br******,noun
bratwurst,نقانق,ن****,br*******,noun
breadth,عرض,ع**,br*****,noun
breed,عرق,ع**,b****,noun
bride,عروس,ع***,b****,noun
brink,حافة,ح***,b****,noun
broad,واسع,و***,b****,adjective
bruised,كدمة,ك***,br*****,adjective
bulletproof,مضاد للرصاص,م*** ل*****,bu*********,adjective
bump,مطب,م**,b***,noun
bundle sale,البيع المجمع,ا**** ا*****,b***** s***,noun
burden,عبء,ع**,b*****,noun
burgeoning,مزدهر,م****,bu********,adjective
burial,جنازة,ج****,b*****,noun
butcher,جزار,ج***,bu*****,noun
buzzword,كلمة رائجة,ك*** ر****,bu******,noun
by tomorrow,بحلول الغد,ب**** ا***,b* to******,prepositional phrase
capricious,متقلب,م****,ca********,adjective
career fair,معرض التوظيف,م*** ا******,c***** f***,noun
carrier,النقل,ا****,ca*****,noun
carved,منحوت,م****,c*****,adjective
catch-all,شامل لكل شيء,ش*** ل** ش**,c****-a**,noun
caterpillar,يرقة,ي***,ca*********,noun
cave,كهف,ك**,c***,noun
caveat,تحذير,ت****,c*****,noun
ceiling,سقف,س**,ce*****,noun
cellar,قبو,ق**,c*****,noun
chalk,طباشير,ط*****,c****,noun
chasm,هاوية,ه****,c****,noun
cheering,تصفيق,ت****,ch******,noun
cheesy,حنطي,ح***,c*****,adjective
chicken out,التراجع,ا******,ch***** o**,phrasal_verb
chickpeas,حمص,ح**,ch*******,noun
chivalry,شهامة,ش****,ch******,noun
chopstick,عيدان الأكل,ع**** ا****,ch*******,noun
chore,عمل روتيني,ع** ر*****,c****,noun
chump,أحمق,أ***,c****,noun slang
chunk,قطعة,ق***,c****,noun
cinder block,كتلة خرسانية,ك*** خ******,c***** b****,noun
clay,طين,ط**,c***,noun
clay court,ملعب ترابي,م*** ت****,c*** c****,noun phrase
clever,ذكي,ذ**,c*****,adjective
cliff,جرف,ج**,c****,noun
clockwise,باتجاه عقارب الساعة,ب***** ع**** ا*****,cl*******,adjective
closet,خزانة,خ****,c*****,noun
clout,نفوذ / سطوة,ن*** / س***,c****,noun slang
clumsy,مرتبك,م****,c*****,adjective
coal,فحم,ف**,c***,noun
coffin,نعش,ن**,c*****,noun
cog,ترس,ت**,c**,noun
cogwheel,عجلة مسننة,ع*** م****,co******,noun
colander,مصفاة,م****,co******,noun
collecting stamps,جمع الطوابع,ج** ا******,co******** s*****,phrase
comfy,مريح,م***,c****,adjective
coming due,عشية الموعد النهائي,ع*** ا***** ا******,c***** d**,phrase
commencement speech,خطاب التخرج,خ*** ا*****,co********** s*****,noun phrase
commitment,التزام,ا*****,co********,adjective
compliance,امتثال,ا*****,co********,noun
complicity,تواطؤ,ت****,co********,noun
confused,مرتبك,م****,co******,adjective
convenience,راحة,ر***,co*********,noun
cooker,طباخ,ط***,c*****,noun
corpse,جثة,ج**,c*****,noun
cottage,كوخ,ك**,co*****,noun
couch,أريكة,أ****,c****,noun
cowardly,جبان,ج***,co******,adjective
cramming them,حشوهم,ح****,cr****** t***,phrase
crane,رافعة,ر****,c****,noun
crate,صندوق,ص****,c****,noun
craved,مشتهى,م****,c*****,adjective
credentials,أوراق اعتماد,أ**** ا*****,cr*********,noun
crisis,مصيبة,م****,c*****,noun
crowd,حشد,ح**,c****,noun
cubs,أشبال الدببة,أ**** ا*****,c***,noun
cuddle,عناق,ع***,c*****,noun
cue,إشارة,إ****,c**,noun
cue the lights,تشغيل الأضواء,ت**** ا******,c** t** l*****,phrase
culprit,الجاني,ا*****,cu*****,noun
cumbersome,مرهق / ثقيل,م*** / ث***,cu********,adjective
cupboard,خزانة,خ****,cu******,noun
curly braces,الأقواس المعقوفة,ا****** ا*******,c**** b*****,noun
curse,لعنة,ل***,c****,noun
curtains,ستائر,س****,cu******,noun
cutting-edge,المتطور والحديث,ا****** و******,cu*****-e***,adjective
damp,رطب,ر**,d***,adjective
darts,السهام,ا*****,d****,noun
deaf,أصم,أ**,d***,adjective
deck,جسر,ج**,d***,noun
deer,غزال,غ***,d***,noun
defect,عيب,ع**,d*****,noun
delivery,توصيل,ت****,de******,noun
deprecated,قديم,ق***,de********,adjective
derelict,مهجور,م****,de******,adjective
desperate,يائس,ي***,de*******,adjective
despite,بالرغم من,ب***** م*,de*****,preposition
detainee,معتقل,م****,de******,noun
devoid,خالي,خ***,d*****,adjective
diary,مذكرة,م****,d****,adjective
dimple,الدمل,ا****,d*****,noun
disgruntled,تعيس,ت***,di*********,adjective
disguise,تنكر,ت***,di******,noun
disgusting,مقزز,م***,di********,adjective
at my disposal,تحت تصرفي,ت** ت****,a* m* di******,noun
disruptive,تخريبي,ت*****,di********,adjective
do the housework,القيام بالأعمال المنزلية,ا***** ب******* ا*******,d* t** ho*******,phrase
do you mind if ..., ...هل تمانع إذا, ...ه* ت**** إ**,d* y** m*** i* ...,phrase
do you wanna come over ?,هل تريد أن تأتي ؟,ه* ت*** أ* ت*** ؟,d* y** w**** c*** o*** ?,question
does it often snow in algiers ?,هل تتساقط الثلوج في كثير من الأحيان في الجزائر العاصمة؟,ه* ت***** ا***** ف* ك*** م* ا****** ف* ا****** ا******؟,d*** i* o**** s*** i* al***** ?,question
doll,دمية,د***,d***,noun
dope,رائع,ر***,d***,noun slang
downstream,المصب,ا****,do********,noun
dozens,العشرات,ا******,d*****,noun
