question,answer,frontHint,backHint,labels
What is 15 × 8?,120,Multiplication,Between 100 and 150,math multiplication
What is 144 ÷ 12?,12,Division,Perfect square,math division
What is 25²?,625,Squaring,Ends in 25,math exponent
What is √81?,9,Square root,Single digit,math root
What is 2³?,8,Exponent,Small cube,math exponent
What is 50% of 80?,40,Percentage,Half of 80,math percentage
What is the perimeter of a square with side 5?,20,Geometry,Side × 4,math geometry
What is 7 + 8 × 2?,23,Order of operations,Multiplication first,math order
What is (10 + 5) × 2?,30,Parentheses,Add first,math parentheses
What is 100 - 37?,63,Subtraction,Greater than 60,math subtraction
