face1,face2,face3,frontHint,labels
Hello,Bonjour,Hallo,Greeting - English/French/German,language greetings
Goodbye,Au revoir,Auf Wiedersehen,Farewell,language greetings
Thank you,Merci,Danke,Gratitude,language polite
Please,S'il vous plaît,Bitte,Polite request,language polite
Yes,Oui,Ja,Affirmative,language basic
No,Non,Nein,Negative,language basic
Good morning,Bon matin,Guten Morgen,Morning greeting,language greetings
Good night,Bonne nuit,Gute Nacht,Evening farewell,language greetings
I love you,Je t'aime,Ich liebe dich,Expression of love,language emotions
How are you?,Comment ça va?,Wie geht es dir?,Common question,language conversation
