front,back,frontHint,backHint,label
At the drop of a hat,Immediately,A* t*** d*** o* a h**,,idiom
A ball in the court,Responsibility or the next move belongs to someone.,A b*** i* t** c****,,idiom
A bitter pill to swallow,"Something very unpleasant or painful that you must accept or endure, even though you don't want to",A b***** p*** t* s******,,idiom
A breath of fresh air,"Something or someone that is new, refreshing, and brings positive energy to a dull or stale situation",A b***** o* f**** a**,,idiom
A tough nut to crack,"A person who is difficult to persuade or understand / A problem that is very hard to solve",A t**** n** t* c****,,idiom
ahead of time,Earlier than expected or before the scheduled time; doing something in advance,a**** o* t***,,idiom
all of a sudden,Happening quickly and without any warning; something that occurs unexpectedly,a** o* a s*****,,idiom
another kettle of fish,A completely different situation or matter from what was being discussed before,a****** k***** o* f***,,idiom
As busy as a bee,Very busy,A* b*** a* a b**,,idiom
As busy as a beaver,Very busy,A* b*** a* a b*****,,idiom
as far as i'm concerned,Used to express your personal opinion or perspective on a matter,a* f** a* i** c********,,idiom
at face value,"To accept something exactly as it appears on the surface, without questioning or analyzing it further",a* f*** v****,,idiom
At the drop of a hat,"Willing to do something instantly, without any hesitation or delay",A* t** d*** o* a h**,,idiom
bail me out,"To help someone escape from a difficult or troublesome situation, often financially or legally",b*** m* o**,,idiom
under the counter,"Sold or traded secretly and illegally, often to avoid government regulations, taxes, or because the item is banned.",b***** t** c******,,idiom
better safe than sorry,It is wiser to take precautions and be careful than to take risks and regret it later,b***** s*** t*** s****,,idiom
Blow smoke,To deliberately give false or misleading information in order to deceive or impress someone,B*** s****,,idiom
Break new ground,To do something innovative that has never been done before; to pioneer a new approach,B**** n** g*****,,idiom
Brownie points,Informal credit or favor earned by doing something helpful or pleasing to someone,B****** p*****,,idiom
Buried treasure,"Something extremely valuable that is hidden or not easily found, often used figuratively",B***** t*******,,idiom
Burst his bubble,To destroy someone's happy illusion or enthusiastic belief by revealing the harsh truth,B**** h** b*****,,idiom
By leaps and bounds,Very quickly (used with improvement),B* l**** a** b*****,,idiom
Call it a day,"To decide to stop working or doing an activity, usually because you've done enough or are tired",C*** i* a d**,,idiom
Came out ahead,Ended up in a better position than before; achieved success despite difficulties,C*** o** a****,,idiom
Carved in stone,"Something that is fixed, permanent, and absolutely cannot be changed",C***** i* s****,,idiom
Copycats,Someone or a company who tries to do things like another person or company,C*******,,idiom
count on me,You can trust and depend on me,c**** o* m*,,idiom
Cross the bridge,"To deal with a problem or challenge only when it actually arises, not before",C**** t** b*****,,idiom
Cut to the chase,To skip unnecessary details and get straight to the main point of what you want to say,C** t* t** c****,,idiom
Dog and pony show,An elaborate but often superficial presentation designed to impress or persuade an audience,D** a** p*** s***,,idiom
Early birds,Someone who takes early advantage of a situation,E**** b****,,idiom
Empty suit,A person in a position of authority who appears important but actually lacks real competence or substance,E**** s***,,idiom
Fade into the background,"To gradually become less noticeable, important, or prominent in a situation",F*** i*** t** b*********,,idiom
fade out,"To gradually become weaker, quieter, or less visible until completely gone",f*** o**,,idiom
Falls into the trap,To be tricked or deceived by something that was designed to mislead you,F**** i*** t** t***,,idiom
Feels put upon,"Feels unfairly burdened, exploited, or taken advantage of by others",F**** p** u***,,idiom
filled to the brim,"Completely and totally full, with no room left for anything more",f***** t* t** b***,,idiom
first and foremost,Above all else; the most important thing to consider before anything else,f**** a** f*******,,idiom
Fits the bill,To have the right characteristics for something,F*** t** b***,,idiom
food for thought,An idea or piece of information that is worth serious consideration and reflection,f*** f** t******,,idiom
Full steam ahead,To continue with full commitment,F*** s**** a****,,idiom
Genuine article,"Something real, authentic, or trustworthy",G****** a******,,idiom
Gets the short end of the stick,To receive an unfair deal or be treated worse than others in a situation,G*** t** s**** e** o* t** s****,,idiom
Going places / to go places,Making significant progress in life or career; on the path to great success and achievement,G**** p***** / t* g* p*****,,idiom
good things come to those who wait,Being patient will eventually lead to positive results and rewards,g*** t***** c*** t* t**** w** w***,,idiom
Got ahead,"Made significant progress or advanced in life, career, or a particular endeavor",G** a****,,idiom
Have the presence of mind,Be aware and be able to grasp an opportunity,H*** t** p******* o* m***,,idiom
