word,definition,labels
Photosynthesis,Process by which plants convert sunlight into energy,science biology plants
Cell,Basic unit of life,science biology basic
DNA,Molecule containing genetic instructions,science biology genetics
Atom,Smallest unit of matter,science chemistry basic
Molecule,Two or more atoms bonded together,science chemistry basic
Element,Pure substance made of one type of atom,science chemistry basic
Compound,Substance made of two or more elements,science chemistry
Energy,Ability to do work,science physics basic
Force,Push or pull on an object,science physics basic
Gravity,Force that attracts objects toward each other,science physics force
Matter,Anything that has mass and takes up space,science physics basic
Mass,Amount of matter in an object,science physics measurement
Volume,Amount of space an object occupies,science physics measurement
Density,Mass per unit volume,science physics measurement
Temperature,Measure of how hot or cold something is,science physics measurement
Ecosystem,Community of living and non-living things,science biology environment
Habitat,Natural home of an organism,science biology environment
Species,Group of similar organisms that can reproduce,science biology classification
Organism,Individual living thing,science biology basic
Evolution,Change in species over time,science biology concept
