front,back,frontHint,backHint,label
at face value,à première vue,commence par à,multi-word,phrase
all of a sudden,tout à coup,commence par t,multi-word,idiom
ahead of time,en avance,commence par e,multi-word,phrase
behind the counter,derrière le comptoire,expression française,common phrase (3 words),idiom
are we there yet ?,c'est quand qu'on arrive ?,,,idiom 
as far as i'm concerned,en ce qui me concerne,,,idiom 
do you mind if ...,ça te dérange si ...,,,idiom 
bail me out,payer ma caution / me renflouer / me tirer d'affaires,multiple meanings,multi-word,phrase
do you wanna come over ?,tu veux venir ?,,,idiom 
good things come to those who wait,tout arrive à point à qui sait attendre,,,idiom 
how long have you been a teacher ?,depuis combien de temps es-tu professeur ?,,,idiom 
hit the nail on the head,mettre le doigt dessus,,,idiom 
i'm delighted to make your acquaintance,je suis ravi de faire votre connaissance,,,idiom 
help yourself,sers toi,commence par s,starts with h,idiom
i didn't do it on purpose,je ne l'est pas fait exprès,,,idiom 
fade out,disparaitre,commence par d,starts with f,idiom
it's getting on my nerves,ça me tape sur les nerfs,,,idiom 
i was walking my dog,je promenais mon chien,,,idiom 
neither do I,moi non plus,commence par m,starts with m,idiom
better safe than sorry,mieux vaut prévenir que guérir,commence par m,multi-word,idiom
it's high time,il est grand temps,commence par i,multi-word term,idiom
it's freezing,il fait vraiment froid,commence par i,starts with i,idiom
it's time you went to bed,il est temps que tu ailles te coucher,,,idiom 
i'm fed up,j'en ai marre,,,idiom 
beef up,renforcer,commence par r,starts with b,idiom
on tap,prêt,commence par r,starts with o,idiom
it's a big hassle,c'est un gros problème,commence par c,multi-word term,idiom phrase
i'm looking forward to seeing you again,j'ai hâte de te revoir,,,idiom 
i don't want there to be too many people tonight,je ne veux pas qu'il y ait trop de monde ce soir,,,idiom 
why are you making so much noise ?,pourquoi tu fais autant de bruit,,,idiom 
we met,nous nous sommes rencontrées,,,idiom 
why weren't you at work last week ?,pourquoi tu n'était pas au travail la semaine dernière ?,,,idiom 
why the long face ?,pourquoi tu fais la tranche,,,idiom 
what do you do for a living ?,que fais-tu dans la vie ?,,,idiom 
whose shoes are they ?,à qui sont ces chaussures ?,,,idiom 
what's in it for me,qu'est-ce que j'y gagne ?,,,idiom 
whether you like it or not,que tu le veuille ou non,,,idiom 
we didn't come home late last night,on est pas rentré tard hier soir,,,idiom 
another kettle of fish,une autre paire de manches,commence par u,multi-word,phrase
arrive in time,arriver à temps,commence par a,multi-word,idiom
does it often snow in algiers ?,est-ce qu'il neigne souvent à alger ?,commence par e,starts with d,idiom
do the housework,faire le ménage,expression française,common phrase (3 words),idiom
to eat out,manger au resto,commence par m,starts with t,idiom
food for thought,matière à réflexion,commence par m,multi-word,idiom
to fall asleep,s'endormir,commence par s,starts with t,idiom
flush out toxins,éliminer les toxines,commence par é,multi-word,idiom
he had it comming,il l'a bien mérité / cherché,multiple meanings,common phrase (4 words),idiom
he stood me up,il m'a posé un lapin,expression française,common phrase (4 words),idiom
i don't mind waiting,ça ne me dérange pas d'attendre,expression française,common phrase (4 words),idiom
jar of jam,pot de confiture,commence par p,multi-word,idiom
mess around with,jouer avec,commence par j,multi-word,idiom
mind the gap,attention à l'écart,expression française,common phrase (3 words),idiom
my moto in life,ma devise dans la vie,expression française,common phrase (4 words),idiom
my car broke down,ma voiture est tombée en panne,expression française,common phrase (4 words),idiom
mumbling and fumbling,marmonnements et tâtonnements,commence par m,multi-word,idiom
none the wiser,dans l'incompréhension / pas plus avancé,multiple meanings,common phrase (3 words),idiom
neither do i,moi non plus,commence par m,multi-word,idiom
out of sorts,de mauvaise humeur,commence par d,multi-word,idiom
out of breath,essoufflé,commence par e,multi-word,idiom
pleased to meet you,ravi de vous rencontrer,commence par r,multi-word,idiom
put on your coat,mets ton manteau,commence par m,multi-word,idiom
pay a fine,payer une amande,commence par p,multi-word,idiom
rain on someone's parade,gâcher la fête,commence par g,multi-word,idiom
sheds light on,met en lumière,commence par m,multi-word,idiom
slip through the cracks,passer à travers les mailles du filet,expression française,common phrase (4 words),idiom
sweep under the rug,balayer sous le tapis,expression française,common phrase (4 words),idiom
she'd better hurry,elle ferait mieux de se dépêcher,commence par e,multi-word,idiom
there aren't enough plates,il n'y a pas assez d'assiettes,commence par i,multi-word,idiom
three story house,maison à trois étages,commence par m,multi-word,idiom
with flying colors,avec brio,commence par a,multi-word,idiom
weather the storm,surmonter la tempête,expression française,common phrase (3 words),idiom
with a fine-tooth comb,au peigne fin,commence par a,multi-word,idiom
to add up,additionner,commence par a,starts with a,idiom
to carry out,effectuer / mener / réaliser,multiple meanings,starts with c,idiom
to come in handy,être utile,commence par ê,starts with c,idiom
count on me,compte sur moi,commence par c,starts with c,idiom
cue the lights,allumez les lumières,commence par a,starts with c,idiom
to dig up,déterrer,commence par d,starts with d,idiom
to drill down,approfondir,commence par a,starts with d,idiom
to figure out,comprendre / trouver,multiple meanings,starts with f,idiom
filled to the brim,rempli à ras bord,commence par r,starts with f,idiom
to find out,trouver / savoir,multiple meanings,starts with f,idiom
first and foremost,avant toute chose,commence par a,starts with f,idiom
to go up,monter,commence par m,starts with g,idiom
to get rid of,se débarrasser,commence par s,starts with g,idiom
to hand over controls,passer la commande,commence par p,starts with h,idiom
to hand over,remettre,commence par r,starts with h,idiom
to hook up,brancher,commence par b,starts with h,idiom
I made up my mind,j'ai pris ma décision,commence par j,starts with i,idiom
I lost my temper,j'ai perdu mon sang-froid,commence par j,starts with i,idiom
I beg you,je t'en supplie,commence par j,starts with i,idiom
to jack up,soulever,commence par s,starts with j,idiom
to lay off,licencier,commence par l,starts with l,idiom
to look out,faire attention,commence par f,starts with l,idiom
means of tender,moyen d'appel d'offres,commence par m,starts with m,idiom
mind your own business,mêle toi de tes affaires,commence par m,starts with m,idiom
no pun intended,sans jeu de mot,commence par s,starts with n,idiom
on behalf of,au nom de,commence par a,starts with o,idiom
to opt out,se retirer,commence par s,starts with o,idiom
out of order,hors service,commence par h,starts with o,idiom
to peek out,jeter un œil dehors,commence par j,starts with p,idiom
to plop down,s'est laissé tomber,commence par s,starts with p,idiom
to pull off,retirer / enlever / réussir,multiple meanings,starts with p,idiom
to pull someone's leg,se moquer de quelqu'un,commence par s,starts with p,idiom
to ramp up,accélerer / montée en puissance,multiple meanings,starts with r,idiom
roll up your sleeves,retrousses tes manches,commence par r,starts with r,idiom
running low on cash,à court d'argent,commence par à,starts with r,idiom
to screw up,bousiller,commence par b,starts with s,idiom
second to none,sans égal,commence par s,starts with s,idiom
to snap shut,fermer brusquement,commence par f,starts with s,idiom
to start strong,commencer fort,commence par c,starts with s,idiom
to stay ahead,garder une longueur d'avance,commence par g,starts with s,idiom
to take action,passer à l'action,commence par p,starts with t,idiom
to take control,prendre le control,commence par p,starts with t,idiom
that's exactly what I needed,c'est exactement ce qu'il me fallait,commence par c,starts with t,idiom
it was great,c'était génial,commence par c,starts with i,idiom
that's not the point,ce n'est pas la question,commence par c,starts with t,idiom
the sun rose,le soleil s'est levé,commence par l,starts with t,idiom
to make illegible,rendre illisible,commence par r,starts with m,idiom
to give up,renoncer,commence par r,starts with g,idiom
to pretend to be,se faire passer pour,commence par s,starts with p,idiom
to bring bad luck,porter malheur,commence par p,starts with b,idiom
to put aside,mettre de côté / suspendre,multiple meanings,starts with p,idiom
tug of war,tir à la corde,commence par t,starts with t,idiom
to go up,monter,commence par m,starts with g,idiom
to water down,édulcorer / atténuer,multiple meanings,starts with w,idiom
to complain about,se plainde de,commence par s,starts with c,idiom
