front,back,frontHint,backHint,label
abode,demeure,commence par d,starts with a,noun
abroad,à l'étranger,commence par à,starts with a,adverb
abroad,à l'étranger,commence par à,starts with a,adverb
accountable,responsable / redevable,multiple meanings,starts with a,adjective
accounting,comptabilité,commence par c,starts with a,noun
acquisition,acquisition,commence par a,starts with a,noun
adaptation,adaptation,commence par a,starts with a,noun
ahead,devant / en avance / à venir,multiple meanings,starts with a,adjective
air conditioner,climatiseur,commence par c,starts with a,noun
aircraft carrier,porte-avions,commence par p,starts with a,noun
albeit,bien que,commence par b,starts with a,conjunction
allegedly,prétendument,commence par p,starts with a,adverb
almond,amande,commence par a,starts with a,noun
altogether,tout à fait / complétement,multiple meanings,starts with a,adverb
anxious,inquiet,commence par i,starts with a,adjective
appliances,appareils électroménagers,commence par a,starts with a,noun
appointment,rendez-vous,commence par r,starts with a,noun
assessment,évaluation,commence par é,starts with a,adjective
assessor,évaluateur,commence par é,starts with a,noun
asset,actif,commence par a,starts with a,noun
assumption,hypothèse,commence par h,starts with a,noun
attendee,participant,commence par p,starts with a,noun
attorney,avocat,commence par a,starts with a,noun
auction,enchère,commence par e,starts with a,noun
awareness,conscience,commence par c,starts with a,noun
backlash,contrecoup,commence par c,starts with b,noun
bail,caution,commence par c,starts with b,noun
bakery,boulangerie,commence par b,starts with b,noun
baking soda,bicarbonate de soude,commence par b,starts with b,noun
ballot,scrutin,commence par s,starts with b,noun
ballpark estimate,estimation approximative,commence par e,starts with b,phrase
banished,banni,commence par b,starts with b,adjective
bankruptcy,faillite,commence par f,starts with b,noun
banter,plaisanterie,commence par p,starts with b,noun
barefoot,pieds nus,commence par p,starts with b,noun
barely,à peine,commence par à,starts with b,adverb
bargain,bonne affaire,commence par b,starts with b,noun
bargaining,négociation,commence par n,starts with b,noun
bargaining chip,monnaie d'agrément,commence par m,starts with b,noun
bassinet,berceau,commence par b,starts with b,noun
bathtub,baignoire,commence par b,starts with b,noun
beforehand,au préalable,commence par a,starts with b,adverb
belly,ventre,commence par v,starts with b,noun
bill,facture,commence par f,starts with b,noun
billboard,panneau d'affichage,commence par p,starts with b,noun
bite,morsure,commence par m,starts with b,noun
bitter,amer,commence par a,starts with b,adjective
bitterness,amertume,commence par a,starts with b,noun
blame shift,transfert de responsabilité,commence par t,starts with b,phrase
bleeding,saignement,commence par s,starts with b,noun
blender,mixeur,commence par m,starts with b,noun
blending,mélange,commence par m,starts with b,noun
blind spots,angles morts,commence par a,starts with b,phrase
bloom,floraison,commence par f,starts with b,noun
blossom,fleur,commence par f,starts with b,noun
blower,ventilateur / soufleur,multiple meanings,starts with b,noun
bogus,faux,commence par f,starts with b,noun
booking,réservation,commence par r,starts with b,noun
boredom,l'ennui,commence par l,starts with b,noun
boulder,rocher,commence par r,starts with b,noun
boundary,limite / frontière,multiple meanings,starts with b,adjective
brackets,crochets,commence par c,starts with b,noun
bratwurst,saucisse,commence par s,starts with b,noun
breadth,largeur,commence par l,starts with b,noun
breed,race,commence par r,starts with b,noun
bride,mariée,commence par m,starts with b,noun
brink,bord,commence par b,starts with b,noun
broad,large,commence par l,starts with b,adjective
brooch,broche,commence par b,starts with b,noun
bruised,meurtri,commence par m,starts with b,adjective
bulletproof,pare-balles / blindé,multiple meanings,starts with b,adjective
bump,bosse,commence par b,starts with b,noun
wad of change,liasse de monnaie,****** de monnaie,*** of change,noun
bundle sale,vente groupée,commence par v,starts with b,noun
burden,fardeau,commence par f,starts with b,noun
burgeoning,en plein essor,commence par e,starts with b,adjective
burial,enterrement,commence par e,starts with b,noun
butcher,boucher,commence par b,starts with b,noun
buzzword,mot à la mode,commence par m,starts with b,noun
by tomorrow,d'ici demain,commence par d'ici,starts with b,prepositional phrase
camouflage,camouflage,commence par c,starts with c,noun
capricious,capricieux,commence par c,starts with c,adjective
career fair,salon de l'emploi,***** de l'emloi,career ****,noun
carrier,transport,commence par t,starts with c,noun
carved,sculpté,commence par s,starts with c,adjective
catch-all,fourre-tout / receveur,multiple meanings,starts with c,noun
caterpillar,chenille,commence par c,starts with c,noun
cave,grotte,commence par g,starts with c,noun
caveat,mise en garde,commence par m,starts with c,noun
ceiling,plafond,commence par p,starts with c,noun
cellar,cave,commence par c,starts with c,noun
chalk,craie,commence par c,starts with c,noun
chasm,gouffre,commence par g,starts with c,noun
cheering,applaudissement,commence par a,starts with c,noun
cheesy,ringard,commence par r,starts with c,adjective
chicken out,sé dégonfler,commence par s,starts with c,phrasal verb
chickpeas,pois chiche,commence par p,starts with c,noun
