front,back,frontHint,labels
What does 🎉 represent?,Party or celebration,Festive,emoji fun
What does 🔥 mean in slang?,Amazing or popular,Hot,emoji slang
What does 💡 symbolize?,Idea or insight,Think,emoji concept
What does 🚀 represent?,Launch or rapid growth,Up,emoji success
What does 👍 mean?,Approval or agreement,Positive,emoji gesture
What does ⭐ symbolize?,Excellence or favorite,Star,emoji
What does 🎯 represent?,Goal or target achieved,Bullseye,emoji success
What does 🌟 mean?,Special or outstanding,Sparkle,emoji special
What does 💪 represent?,Strength or determination,Muscle,emoji strength
What does 🧠 symbolize?,Intelligence or thinking,Brain,emoji intelligence
