front,back,frontHint,backHint,label
إدعاءات,Allegation,Al********,إ******,noun
مرارة / حقد,Amertume,Am******,م**** / ح**,noun
تميمة,Amulette,Am******,ت****,noun
الكبر,Arrogance,Ar*******,ا****,noun
فجر,Aube,A***,ف**,noun
طليعي,Avant-gardiste,A****-ga******,ط****,noun
تحيز,Biais,B****,ت***,noun
إفتراء,Calomnier,Ca*******,إ*****,verb
دجال,Charlatan,Ch*******,د***,noun
صعلوك,Clochard,Cl******,ص****,noun
تعقيب,Commentaire,Co*********,ت****,noun
راحة,Commodité,Co*******,ر***,noun
تنكيد,Contrarier,Co********,ت****,verb
مثير للجدل,Contreversé,Co*********,م*** ل****,noun
شهوة,Convoitise,Co********,ش***,noun
رهابة,Crainte,Cr*****,ر****,noun
شجاعة,Cran,C***,ش****,noun
نوبة,Crise,C****,ن***,noun
نجومية,Célébrité,Cé*******,ن*****,noun
معضلة,Dilemme,Di*****,م****,noun
العقيدة,Doctrine,Do******,ا******,noun
الخذلان,Déception,Dé*******,ا******,noun
متفاني,Dédié,D****,م*****,adjective
مثلبة,Défaut,Dé****,م****,noun
القرف  /  الإشمئزاز,Dégout,Dé****,ا****  /  ا********,noun
جاني,Délinquant,Dé********,ج***,noun
كساد,Dépression,Dé********,ك***,noun
محو,Effacer,Ef*****,م**,verb
الأنا,Ego,E**,ا****,noun
متعاطف,Empathique,Em********,م*****,noun
ملقن,Endoctriné,En********,م***,noun
غير منتظم,Erratique,Er*******,غ** م****,noun
الجدوى,Faisabilité,Fa*********,ا*****,noun
وطيد,Ferme,F****,و***,noun
شديد,Fervent,Fe*****,ش***,adjective
الإطراء,Flatterie,Fl*******,ا******,noun
الحذاقة,Habilité,Ha******,ا******,noun
هلوسة,Hallucination,Ha***********,ه****,noun
خزي,Honte,H****,خ**,noun
الذل,Humiliation,Hu*********,ا***,noun
فرضية,Hypothèse,Hy*******,ف****,noun
سفيه,Imbécile,Im******,س***,noun
تنصيب,Inauguration,In**********,ت****,noun
العصمة,Infaillibilité,In************,ا*****,noun
إلهام,Inspiration,In*********,إ****,noun
التجديف بالقوارب,Kayak,K****,ا****** ب*******,noun
الملثم,L'homme masqué,L'h**** ma****,ا*****,noun
مقتضب,Laconique,La*******,م****,noun
الحضيض,Le fond,L* f***,ا*****,noun
أحلك,Les plus sombres,L** p*** so*****,أ***,noun
على الرغم,Malgré,Ma****,ع** ا****,noun
كدمة,Meurtri,Me*****,ك***,noun
لئيم,Méchant,Mé*****,ل***,adjective
ساذجة,Naiveté,Na*****,س****,noun
سديم,Nébuleuse,Né*******,س***,noun
الزعانف,Palmes,Pa****,ا******,noun
التسيب,Paresse,Pa*****,ا*****,noun
رهان,Pari,P***,ر***,noun
شغف,Passion,Pa*****,ش**,noun
مثابرة,Persévérance,Pe**********,م*****,noun
لدغة,Piqure,Pi****,ل***,noun
متعدد المهارات / إستخدامات,Polyvalent,Po********,م**** ا******* / إ********,noun
منضبط,Ponctuel,Po******,م****,noun
مهابة,Prestige,Pr******,م****,noun
الصلاحيات,Privilèges,Pr********,ا********,noun
محتمل / مرجح,Probable,Pr******,م**** / م***,noun
إنبطاح,Prostration,Pr*********,إ*****,noun
إجحاف,Préjugé,Pr*****,إ****,noun
اسم مستعار,Pseudonyme,Ps********,ا** م*****,noun
المقر الرئيسي,Quartier général,Qu****** gé*****,ا**** ا******,noun
جذف,Ramer,R****,ج**,verb
طحال,Rate,R***,ط***,noun
متمرد,Rebelle,Re*****,م****,noun
زيادة / تصاعد,Recrudescence,Re***********,ز**** / ت****,noun
مندوب,Représentant,Re**********,م****,noun
الشخير,Ronflement,Ro********,ا*****,noun
صادئة,Rouillé,Ro*****,ص****,adjective
ركود,Récession,Ré*******,ر***,noun
إدراج,Répertorier,Ré*********,إ****,verb
الصمود,Résilience,Ré********,ا*****,noun
حافر,Sabot,S****,ح***,noun
قذارة / أوساخ,Saleté,Sa****,ق**** / أ****,noun
سخرية,Sarcasme,Sa******,س****,noun
هجاء,Satire,Sa****,ه***,noun
تكبر,Snobisme,Sn******,ت***,noun
كئيب,Sombre,So****,ك***,noun
سيادة,Souveraineté,So**********,س****,noun
سهوب,Steppe,St****,س***,noun
تنكيل,Torture,To*****,ت****,noun
علاج,Traitement,Tr********,ع***,noun
الحياكة,Tricotage,Tr*******,ا******,noun
مشبك,Trombone,Tr******,م***,noun
تزوير,Truquage,Tr******,ت****,noun
مزور,Truqué,Tr****,م***,adjective
حيوية,Vivacité,Vi******,ح****,noun
بلطجية,Voyou,V****,ب*****,noun
مرهق,Épuisé,Ép****,م***,adjective
إنصاف,Équité,Éq****,إ****,noun
الدهر,Éternité,Ét******,ا****,noun
