front,back,frontHint,backHint,labels
What is the chemical symbol for gold?,Au,Periodic table,From Latin 'aurum',science chemistry
What is the speed of light?,299792458 m/s,Physics constant,About 300000 km/s,science physics
How many bones are in the adult human body?,206,Anatomy,Over 200,science biology anatomy
What is the powerhouse of the cell?,Mitochondria,Biology,Produces ATP,science biology cell
What is the boiling point of water at sea level?,100°C or 212°F,Phase change,Celsius and Fahrenheit,science physics temperature
What gas do plants absorb during photosynthesis?,Carbon dioxide (CO₂),Plant biology,Greenhouse gas,science biology plants
What is the largest planet in our solar system?,Jupiter,Astronomy,Gas giant,science astronomy planet
What is DNA?,Deoxyribonucleic acid,Genetics,Double helix,science biology genetics
How long does it take Earth to orbit the Sun?,365.25 days,Astronomy,One year,science astronomy
What is the hardest natural substance on Earth?,Diamond,Mineralogy,Carbon form,science chemistry mineral
