front,back,frontHint,backHint,labels
When did World War II end?,1945,20th century,After 1940,history war dates
When was the Declaration of Independence signed?,1776,18th century,American Revolution,history america dates
When did the Berlin Wall fall?,1989,Cold War era,Late 1980s,history europe dates
When was the first iPhone released?,2007,21st century,Steve Jobs era,history technology
When did Christopher Columbus reach the Americas?,1492,15th century,Age of exploration,history exploration dates
When did the French Revolution begin?,1789,18th century,Before 1800,history europe revolution
When was the United Nations founded?,1945,Post-WWII,Same year as WWII end,history organization dates
When did the Roman Empire fall?,476 AD,5th century,Ancient history,history ancient dates
When did humans first land on the Moon?,1969,Apollo 11,1960s,history space
When did the printing press get invented?,1440,Gutenberg,15th century,history invention
