imageUrl,word,frontHint,backHint,labels
https://flagcdn.com/w320/us.png,United States,North America,Stars and stripes,geography country flag
https://flagcdn.com/w320/fr.png,France,Western Europe,Blue white red,geography country flag europe
https://flagcdn.com/w320/gb.png,United Kingdom,Island nation,Union Jack,geography country flag europe
https://flagcdn.com/w320/de.png,Germany,Central Europe,Black red gold,geography country flag europe
https://flagcdn.com/w320/jp.png,Japan,East Asia,Red circle,geography country flag asia
https://flagcdn.com/w320/cn.png,China,Most populous,Red with stars,geography country flag asia
https://flagcdn.com/w320/br.png,Brazil,South America,Green and yellow,geography country flag
https://flagcdn.com/w320/ca.png,Canada,North America,Maple leaf,geography country flag
https://flagcdn.com/w320/au.png,Australia,Oceania,Southern Cross,geography country flag
https://flagcdn.com/w320/in.png,India,South Asia,Tricolor with wheel,geography country flag asia
