front,back,frontHint,backHint,labels
What is the capital of France?,Paris,Western Europe,City of Light,geography europe capital
What is the capital of Japan?,Tokyo,East Asia,Largest city,geography asia capital
What is the capital of USA?,Washington D.C.,North America,Not New York,geography america capital
What is the capital of Germany?,Berlin,Central Europe,Reunified in 1990,geography europe capital
What is the capital of Australia?,Canberra,Oceania,Not Sydney,geography oceania capital
What is the capital of Brazil?,Brasília,South America,Planned city,geography southamerica capital
What is the capital of China?,Beijing,East Asia,Ancient city,geography asia capital
What is the capital of Egypt?,Cairo,North Africa,Near pyramids,geography africa capital
What is the capital of India?,New Delhi,South Asia,Parliament location,geography asia capital
What is the capital of Canada?,Ottawa,North America,Not Toronto,geography america capital
What is the largest ocean?,Pacific Ocean,Covers most Earth,Between continents,geography ocean
What is the longest river?,Nile River,In Africa,About 6650 km,geography river africa
What is the highest mountain?,Mount Everest,In Himalayas,8849 meters,geography mountain asia
What is the largest desert?,Antarctic Desert,Polar desert,Coldest place,geography desert
What is the largest country by area?,Russia,Spans continents,Biggest land,geography country
What is the smallest continent?,Australia,Also a country,Oceania,geography continent
How many continents are there?,7,Major landmasses,Africa Asia Europe Americas Antarctica Australia,geography continent
What is the equator?,Imaginary line at 0° latitude,Divides Earth,Halfway point,geography concept
What are the tropics?,Regions near equator,Between Tropics of Cancer and Capricorn,Warm climate,geography concept climate
What is a peninsula?,Land surrounded by water on 3 sides,Almost an island,Italy Florida,geography landform
