face1,face2,face3,frontHint,labels
Red,Rouge,Rojo,Color - English/French/Spanish,language colors
Blue,Bleu,Azul,Sky color,language colors
Green,Vert,Verde,Grass color,language colors
Yellow,Jaune,Amarillo,Sun color,language colors
Black,Noir,Negro,Dark color,language colors
White,Blanc,Blanco,Light color,language colors
Orange,Orange,Naranja,Fruit color,language colors
Purple,Violet,Morado,Royal color,language colors
Pink,Rose,Rosa,Soft color,language colors
Brown,Brun,Marrón,Earth color,language colors
