face1,face2,face3,frontHint,labels
California,Sacramento,CA,US State - Name/Capital/Abbreviation,geography usa states
Texas,Austin,TX,Largest in lower 48,geography usa states
Florida,Tallahassee,FL,Sunshine state,geography usa states
New York,Albany,NY,Empire state,geography usa states
Pennsylvania,Harrisburg,PA,Keystone state,geography usa states
Illinois,Springfield,IL,Land of Lincoln,geography usa states
Ohio,Columbus,OH,Buckeye state,geography usa states
Michigan,Lansing,MI,Great Lakes state,geography usa states
Georgia,Atlanta,GA,Peach state,geography usa states
Arizona,Phoenix,AZ,Grand Canyon state,geography usa states
