front,back,frontHint,backHint,labels
What is a variable?,A named storage location for data,Programming basics,Can change,programming basics
What is a function?,A reusable block of code,Performs specific task,Can return values,programming basics
What does API stand for?,Application Programming Interface,Communication,Between software,programming web
What is debugging?,Finding and fixing errors in code,Problem solving,Bug removal,programming development
What is a loop?,A control structure that repeats code,Iteration,While or for,programming basics control
What is an array?,An ordered collection of elements,Data structure,Indexed,programming basics data
What is recursion?,A function calling itself,Advanced concept,Base case needed,programming advanced
What is Git?,A version control system,Collaboration,Tracks changes,programming tools
What does HTTP stand for?,HyperText Transfer Protocol,Web protocol,Client-server,programming web
What is an algorithm?,Step-by-step procedure to solve a problem,Logic,Computational thinking,programming concept
