face1,face2,face3,frontHint,labels
One,Un,Uno,Number 1,spanish french numbers basic
Two,Deux,Dos,Number 2,spanish french numbers basic
Three,Trois,Tres,Number 3,spanish french numbers basic
Four,Quatre,Cuatro,Number 4,spanish french numbers basic
Five,Cinq,Cinco,Number 5,spanish french numbers basic
Six,Six,Seis,Number 6,spanish french numbers basic
Seven,Sept,Siete,Number 7,spanish french numbers basic
Eight,Huit,Ocho,Number 8,spanish french numbers basic
Nine,Neuf,Nueve,Number 9,spanish french numbers basic
Ten,Dix,Diez,Number 10,spanish french numbers basic
Hello,Bonjour,Hola,Greeting,spanish french greetings basic
Goodbye,Au revoir,Adiós,Farewell,spanish french greetings basic
Thank you,Merci,Gracias,Gratitude,spanish french polite basic
Please,S'il vous plaît,Por favor,Request,spanish french polite basic
Yes,Oui,Sí,Affirmative,spanish french basic
No,Non,No,Negative,spanish french basic
Water,Eau,Agua,Drink,spanish french food basic
Food,Nourriture,Comida,Eat,spanish french food basic
Friend,Ami,Amigo,Companion,spanish french social
Family,Famille,Familia,Relatives,spanish french social
